name,description,base_price_paise,category_slug,sku,size,color,stock,price_delta_paise,image_url
Mangalgiri Straight Kurti,"Handwoven Mangalgiri cotton with the signature Nizam border. Crisp enough for a Monday meeting, softer with every wash.",169900,everyday-kurtis,ZSN-MGL-IND-S,S,Indigo,8,0,https://zisun-media.fly.storage.tigris.dev/products/mangalgiri.jpg
Mangalgiri Straight Kurti,,169900,everyday-kurtis,ZSN-MGL-IND-M,M,Indigo,14,0,
Mangalgiri Straight Kurti,,169900,everyday-kurtis,ZSN-MGL-IND-L,L,Indigo,12,0,
Mangalgiri Straight Kurti,,169900,everyday-kurtis,ZSN-MGL-IND-XL,XL,Indigo,6,10000,
Sungudi Everyday Kurti,Madurai Sungudi dots on featherweight cotton. The one you reach for when the fan isn't enough.,149900,everyday-kurtis,ZSN-SGD-TUR-S,S,Turmeric,10,0,https://zisun-media.fly.storage.tigris.dev/products/sungudi.jpg
Sungudi Everyday Kurti,,149900,everyday-kurtis,ZSN-SGD-TUR-M,M,Turmeric,16,0,
Sungudi Everyday Kurti,,149900,everyday-kurtis,ZSN-SGD-TUR-L,L,Turmeric,11,0,
Udupi Cotton A-Line,"Plain-woven Udupi cotton, no fuss. Deep side pockets, because you asked.",159900,everyday-kurtis,ZSN-UDP-OLV-S,S,Olive,7,0,https://zisun-media.fly.storage.tigris.dev/products/udupi.jpg
Udupi Cotton A-Line,,159900,everyday-kurtis,ZSN-UDP-OLV-M,M,Olive,13,0,
Udupi Cotton A-Line,,159900,everyday-kurtis,ZSN-UDP-OLV-L,L,Olive,9,0,
Chettinad Check Kurti,Chettinad's bold checks in a relaxed A-line. Woven cotton that breathes through a Chennai afternoon.,179900,everyday-kurtis,ZSN-CHT-RST-M,M,Rust,12,0,https://zisun-media.fly.storage.tigris.dev/products/chettinad.jpg
Chettinad Check Kurti,,179900,everyday-kurtis,ZSN-CHT-RST-L,L,Rust,10,0,
Chettinad Check Kurti,,179900,everyday-kurtis,ZSN-CHT-RST-XL,XL,Rust,5,10000,
Venkatagiri Fine Cotton Kurti,"Venkatagiri's famously fine weave — light as muslin, holds its shape all day.",239900,everyday-kurtis,ZSN-VKT-IVY-S,S,Ivory,6,0,https://zisun-media.fly.storage.tigris.dev/products/venkatagiri.jpg
Venkatagiri Fine Cotton Kurti,,239900,everyday-kurtis,ZSN-VKT-IVY-M,M,Ivory,9,0,
Venkatagiri Fine Cotton Kurti,,239900,everyday-kurtis,ZSN-VKT-IVY-L,L,Ivory,7,0,
Kasavu Panel Kurti,"Kerala kasavu's gold border, reworked as a clean straight panel. Onam-ready, without the drape.",219900,occasion-kurtis,ZSN-KSV-OFW-S,S,Off White,5,0,https://zisun-media.fly.storage.tigris.dev/products/kasavu.jpg
Kasavu Panel Kurti,,219900,occasion-kurtis,ZSN-KSV-OFW-M,M,Off White,8,0,
Kasavu Panel Kurti,,219900,occasion-kurtis,ZSN-KSV-OFW-L,L,Off White,6,0,
Ilkal Angarkha Kurti,"An angarkha cut in Ilkal cotton, finished with the traditional tope teni border at the hem.",249900,occasion-kurtis,ZSN-ILK-MRN-M,M,Deep Maroon,6,0,https://zisun-media.fly.storage.tigris.dev/products/ilkal.jpg
Ilkal Angarkha Kurti,,249900,occasion-kurtis,ZSN-ILK-MRN-L,L,Deep Maroon,5,0,
Molakalmuru Border Co-ord,"Kurti and palazzo in Molakalmuru cotton, contrast border on both. One decision, whole outfit.",249900,co-ord-sets,ZSN-MLK-MUS-S,S,Mustard,4,0,https://zisun-media.fly.storage.tigris.dev/products/molakalmuru.jpg
Molakalmuru Border Co-ord,,249900,co-ord-sets,ZSN-MLK-MUS-M,M,Mustard,7,0,
Molakalmuru Border Co-ord,,249900,co-ord-sets,ZSN-MLK-MUS-L,L,Mustard,5,0,
